lat,long
44.42308681,-113.5074567
44.42456118,-113.537455
44.43405079,-113.5640939
44.44284797,-113.59462
44.44622188,-113.6255815
44.45039148,-113.6570691
44.46422579,-113.6840828
44.47457538,-113.7148171
44.48211786,-113.7479816
44.49027743,-113.7808356
44.49376474,-113.8136185
45.36700518,-116.3721034
45.16698811,-116.4889589
45.18976859,-116.4790135
45.20804602,-116.4606456
45.22729697,-116.4455606
45.25091974,-116.4372633
45.27045933,-116.4231398
45.29251206,-116.4236952
45.31524814,-116.4199856
45.33604946,-116.4061754
44.93534668,-116.3040247
44.95743274,-116.296968
44.97458235,-116.2932558
44.99281973,-116.287111
45.01409997,-116.2877781
45.02902399,-116.2896196
45.0441493,-116.2857887
45.06052127,-116.2921343
45.07351234,-116.3016724
45.08919951,-116.3110719
45.11130507,-116.3025482
45.12936438,-116.2854555
45.14812378,-116.2959938
45.172787,-116.3035052
45.19685664,-116.3083766
45.22093234,-116.3182225
45.24399147,-116.3305894
45.26803684,-116.3430819
45.28801485,-116.3575289
45.31213085,-116.3587862
45.33593255,-116.3485279
45.35965358,-116.3604196
45.38254515,-116.3502729
45.40097756,-116.3332547
44.63406515,-115.5273807
44.64464852,-115.542312
44.66488652,-115.5390438
44.68790241,-115.5436336
44.70573513,-115.553829
44.72615257,-115.5524893
44.74675961,-115.5389188
44.77043154,-115.5403879
44.7859464,-115.5248846
44.80978232,-115.5210132
44.8332899,-115.5136391
44.85711729,-115.5089087
44.88007174,-115.5071793
44.89899169,-115.4930053
44.92252782,-115.4826368
44.94221691,-115.4975756
44.96284196,-115.507235
44.95445433,-115.5410703
44.94870674,-115.5744689
44.94577204,-115.6101864
44.96007869,-115.6395051
44.96946849,-115.668474
44.99286758,-115.6739097
45.00437128,-115.7006793
44.60046509,-115.682441
44.61261945,-115.6825286
44.62741641,-115.6969852
44.64970435,-115.69679
44.66495812,-115.6999278
44.68506883,-115.7030324
44.70583103,-115.6990341
44.72096244,-115.6943285
44.74305408,-115.6870733
44.76406188,-115.6835391
44.77511964,-115.6950312
44.7920163,-115.6984382
44.81304964,-115.7043258
44.83741192,-115.7030353
44.85764054,-115.6987179
44.87591857,-115.6998606
44.88771948,-115.7168268
44.9113162,-115.7212567
44.92850109,-115.7431876
44.95061456,-115.7371952
44.96913107,-115.7307287
44.9899774,-115.7249372
45.01302229,-115.7170237
45.03039661,-115.6951708
45.04496145,-115.6745779
45.04957955,-115.6426135
45.06809299,-115.6393231
45.08661565,-115.6281031
45.10669535,-115.6142398
45.12689949,-115.5976648
45.14267176,-115.5804182
45.16304855,-115.5756907
45.18233599,-115.5656439
45.20531352,-115.5583627
45.22231007,-115.5440267
45.24080621,-115.5277522
45.25402326,-115.4992107
45.27040124,-115.4746574
45.29503057,-115.4774337
45.31591647,-115.4977293
45.33839363,-115.5060297
45.35829871,-115.517809
45.37787436,-115.5133716
45.32108317,-115.9455872
45.3037076,-115.936807
45.28912123,-115.924235
45.26954247,-115.9125026
45.25704869,-115.8925565
45.26498894,-115.8596351
45.26522969,-115.8312675
45.24810042,-115.8139881
45.23052733,-115.814999
45.21044051,-115.8095432
45.18773151,-115.821161
45.16688471,-115.8076835
45.14459784,-115.7939853
45.12892901,-115.7798374
45.11697764,-115.7628787
45.10028463,-115.7622373
45.07936068,-115.7596231
45.0579403,-115.7553856
45.0372131,-115.7395783
45.03162949,-115.712993
44.56514102,-114.9903581
44.54839156,-115.0166103
44.5445747,-115.0511918
44.56570697,-115.0686855
44.58906486,-115.0737273
44.61218835,-115.064875
44.63520074,-115.0547578
44.65701098,-115.0660584
44.66691082,-115.0925211
44.66719586,-115.1234343
44.67994714,-115.1521152
44.39962401,-115.0125014
44.37942018,-115.0313434
44.36071801,-115.0467195
44.34677671,-115.0543464
44.32584729,-115.0647604
44.30958197,-115.0551945
44.29770433,-115.0358432
44.28905371,-115.0151626
44.27398108,-115.0088977
44.25515119,-115.0052044
44.2358112,-114.9936305
44.22644273,-114.9675137
44.21796694,-114.9387176
44.48019586,-114.5639634
44.46085641,-114.5852143
44.443577,-114.6073549
44.42418812,-114.6213285
44.41145053,-114.6397572
44.39971837,-114.6680657
44.38661003,-114.6968121
44.37233544,-114.7249153
44.34851018,-114.7253298
44.32514922,-114.7219409
44.30112093,-114.7219888
44.28296764,-114.7279063
44.50623362,-114.8964534
44.5194427,-114.8666674
44.54363955,-114.8590733
44.56649667,-114.8484792
44.58693163,-114.8280009
44.60447085,-114.8036394
44.61715205,-114.7762982
44.63296714,-114.7492169
44.6528889,-114.7412358
44.67349519,-114.7410929
44.69498822,-114.7585738
44.71339965,-114.7813838
44.72374122,-114.8059302
44.74631552,-114.8183612
